TIMESTAMP	ETos	Rso
2020-01-17 12:00:00	0.391	3.216
2020-01-17 13:00:00	0.344	3.148
2020-01-17 14:00:00	0.474	2.83
2020-01-17 15:00:00	0.375	2.269
2020-01-17 16:00:00	0.274	1.525
2020-01-17 17:00:00	0.127	0.684
2020-01-17 18:00:00	0.043	0.057
2020-01-17 19:00:00	0.018	0
2020-01-17 20:00:00	0.018	0
2020-01-17 21:00:00	0.017	0
2020-01-17 22:00:00	0.011	0
2020-01-17 23:00:00	0.012	0
2020-01-18 00:00:00	0.02	0
2020-01-18 01:00:00	0.019	0
2020-01-18 02:00:00	0.015	0
2020-01-18 03:00:00	0.014	0
2020-01-18 04:00:00	0.019	0
2020-01-18 05:00:00	0.016	0
2020-01-18 06:00:00	0.018	0
2020-01-18 07:00:00	0.042	0.257
2020-01-18 08:00:00	0.134	1.079
2020-01-18 09:00:00	0.133	1.89
2020-01-18 10:00:00	0.167	2.558
2020-01-18 11:00:00	0.402	3.022
2020-01-18 12:00:00	0.279	3.228
2020-01-18 13:00:00	0.244	3.169
2020-01-18 14:00:00	0.402	2.845
2020-01-18 15:00:00	0.32	2.274
2020-01-18 16:00:00	0.18	1.531
2020-01-18 17:00:00	0.089	0.695
2020-01-18 18:00:00	0.053	0.058
2020-01-18 19:00:00	0.032	0
2020-01-18 20:00:00	0.03	0
2020-01-18 21:00:00	0.027	0
2020-01-18 22:00:00	0.027	0
2020-01-18 23:00:00	0.026	0
2020-01-19 00:00:00	0.025	0
2020-01-19 01:00:00	0.024	0
2020-01-19 02:00:00	0.023	0
2020-01-19 03:00:00	0.023	0
2020-01-19 04:00:00	0.023	0
2020-01-19 05:00:00	0.02	0
2020-01-19 06:00:00	0.016	0
2020-01-19 07:00:00	0.033	0.255
2020-01-19 08:00:00	0.119	1.079
2020-01-19 09:00:00	0.168	1.893
2020-01-19 10:00:00	0.234	2.567
2020-01-19 11:00:00	0.388	3.032
2020-01-19 12:00:00	0.266	3.231
2020-01-19 13:00:00	0.174	3.173
2020-01-19 14:00:00	0.172	2.865
2020-01-19 15:00:00	0.153	2.292
2020-01-19 16:00:00	0.117	1.544
2020-01-19 17:00:00	0.078	0.7
2020-01-19 18:00:00	0.036	0.06
2020-01-19 19:00:00	0.022	0
2020-01-19 20:00:00	0.024	0
2020-01-19 21:00:00	0.022	0
2020-01-19 22:00:00	0.022	0
2020-01-19 23:00:00	0.022	0
2020-01-20 00:00:00	0.021	0
2020-01-20 01:00:00	0.02	0
2020-01-20 02:00:00	0.02	0
2020-01-20 03:00:00	0.02	0
2020-01-20 04:00:00	0.022	0
2020-01-20 05:00:00	0.02	0
2020-01-20 06:00:00	0.023	0
2020-01-20 07:00:00	0.049	0.254
2020-01-20 08:00:00	0.127	1.079
2020-01-20 09:00:00	0.174	1.896
2020-01-20 10:00:00	0.204	2.575
2020-01-20 11:00:00	0.288	3.057
2020-01-20 12:00:00	0.304	3.255
2020-01-20 13:00:00	0.264	3.189
2020-01-20 14:00:00	0.139	2.862
2020-01-20 15:00:00	0.157	2.309
2020-01-20 16:00:00	0.175	1.556
2020-01-20 17:00:00	0.122	0.713
2020-01-20 18:00:00	0.025	0.062
2020-01-20 19:00:00	0.021	0
2020-01-20 20:00:00	0.017	0
2020-01-20 21:00:00	0.023	0
2020-01-20 22:00:00	0.02	0
2020-01-20 23:00:00	0.016	0
2020-01-21 00:00:00	0.015	0
2020-01-21 01:00:00	0.011	0
2020-01-21 02:00:00	0.012	0
2020-01-21 03:00:00	0.015	0
2020-01-21 04:00:00	0.018	0
2020-01-21 05:00:00	0.016	0
2020-01-21 06:00:00	0.012	0
2020-01-21 07:00:00	0.031	0.255
2020-01-21 08:00:00	0.096	1.089
2020-01-21 09:00:00	0.187	1.913
2020-01-21 10:00:00	0.274	2.585
2020-01-21 11:00:00	0.376	3.048
2020-01-21 12:00:00	0.276	3.251
2020-01-21 13:00:00	0.23	3.192
2020-01-21 14:00:00	0.253	2.871
2020-01-21 15:00:00	0.171	2.313
2020-01-21 16:00:00	0.135	1.567
2020-01-21 17:00:00	0.075	0.72
2020-01-21 18:00:00	0.047	0.064
2020-01-21 19:00:00	0.026	0
2020-01-21 20:00:00	0.02	0
2020-01-21 21:00:00	0.018	0
2020-01-21 22:00:00	0.026	0
2020-01-21 23:00:00	0.041	0
2020-01-22 00:00:00	0.027	0
2020-01-22 01:00:00	0.033	0
2020-01-22 02:00:00	0.037	0
2020-01-22 03:00:00	0.014	0
2020-01-22 04:00:00	0.019	0
2020-01-22 05:00:00	0.028	0
2020-01-22 06:00:00	0.033	0
2020-01-22 07:00:00	0.044	0.254
2020-01-22 08:00:00	0.132	1.091
2020-01-22 09:00:00	0.196	1.919
2020-01-22 10:00:00	0.269	2.607
2020-01-22 11:00:00	0.216	3.092
2020-01-22 12:00:00	0.243	3.304
2020-01-22 13:00:00	0.324	3.245
2020-01-22 14:00:00	0.3	2.917
2020-01-22 15:00:00	0.296	2.346
2020-01-22 16:00:00	0.165	1.585
2020-01-22 17:00:00	0.095	0.733
2020-01-22 18:00:00	0.009	0.066
2020-01-22 19:00:00	0.023	0
2020-01-22 20:00:00	0.024	0
2020-01-22 21:00:00	0.02	0
2020-01-22 22:00:00	0.018	0
2020-01-22 23:00:00	0.014	0
2020-01-23 00:00:00	0.013	0
2020-01-23 01:00:00	0.01	0
2020-01-23 02:00:00	0.007	0
2020-01-23 03:00:00	0.005	0
2020-01-23 04:00:00	0.005	0
2020-01-23 05:00:00	0.005	0
2020-01-23 06:00:00	0.003	0
2020-01-23 07:00:00	0.02	0.253
2020-01-23 08:00:00	0.123	1.088
2020-01-23 09:00:00	0.242	1.913
2020-01-23 10:00:00	0.38	2.596
2020-01-23 11:00:00	0.629	3.059
2020-01-23 12:00:00	0.716	3.261
2020-01-23 13:00:00	0.616	3.208
2020-01-23 14:00:00	0.563	2.875
2020-01-23 15:00:00	0.253	2.318
2020-01-23 16:00:00	0.132	1.575
2020-01-23 17:00:00	0.057	0.729
2020-01-23 18:00:00	0.016	0.068
2020-01-23 19:00:00	0.014	0
2020-01-23 20:00:00	0.015	0
2020-01-23 21:00:00	0.018	0
2020-01-23 22:00:00	0.01	0
2020-01-23 23:00:00	0.009	0
2020-01-24 00:00:00	0.016	0
2020-01-24 01:00:00	0.015	0
2020-01-24 02:00:00	0.019	0
2020-01-24 03:00:00	0.014	0
2020-01-24 04:00:00	0.014	0
2020-01-24 05:00:00	0.018	0
2020-01-24 06:00:00	0.024	0
2020-01-24 07:00:00	0.039	0.253
2020-01-24 08:00:00	0.202	1.093
2020-01-24 09:00:00	0.394	1.913
2020-01-24 10:00:00	0.522	2.585
2020-01-24 11:00:00	0.62	3.054
2020-01-24 12:00:00	0.72	3.276
2020-01-24 13:00:00	0.639	3.214
2020-01-24 14:00:00	0.665	2.887
2020-01-24 15:00:00	0.547	2.325
2020-01-24 16:00:00	0.381	1.575
2020-01-24 17:00:00	0.178	0.733
2020-01-24 18:00:00	0.02	0.069
2020-01-24 19:00:00	0.005	0
2020-01-24 20:00:00	0.004	0
2020-01-24 21:00:00	0.001	0
2020-01-24 22:00:00	0	0
2020-01-24 23:00:00	0	0
2020-01-25 00:00:00	-0.003	0
2020-01-25 01:00:00	-0.002	0
2020-01-25 02:00:00	0	0
2020-01-25 03:00:00	0.001	0
2020-01-25 04:00:00	0.003	0
2020-01-25 05:00:00	0.001	0
2020-01-25 06:00:00	0	0
2020-01-25 07:00:00	0.031	0.253
2020-01-25 08:00:00	0.152	1.089
2020-01-25 09:00:00	0.167	1.912
2020-01-25 10:00:00	0.224	2.607
2020-01-25 11:00:00	0.272	3.077
2020-01-25 12:00:00	0.506	3.302
2020-01-25 13:00:00	0.573	3.258
2020-01-25 14:00:00	0.618	2.927
2020-01-25 15:00:00	0.532	2.359
2020-01-25 16:00:00	0.339	1.601
2020-01-25 17:00:00	0.122	0.749
2020-01-25 18:00:00	0.046	0.071
2020-01-25 19:00:00	0.006	0
2020-01-25 20:00:00	0.006	0
2020-01-25 21:00:00	-0.001	0
2020-01-25 22:00:00	0.003	0
2020-01-25 23:00:00	0.005	0
2020-01-26 00:00:00	0.004	0
2020-01-26 01:00:00	0	0
2020-01-26 02:00:00	0.002	0
2020-01-26 03:00:00	0.004	0
2020-01-26 04:00:00	0.004	0
2020-01-26 05:00:00	0.004	0
2020-01-26 06:00:00	0.011	0
2020-01-26 07:00:00	0.048	0.255
2020-01-26 08:00:00	0.174	1.106
2020-01-26 09:00:00	0.37	1.938
2020-01-26 10:00:00	0.538	2.622
2020-01-26 11:00:00	0.664	3.093
2020-01-26 12:00:00	0.722	3.31
2020-01-26 13:00:00	0.725	3.25
2020-01-26 14:00:00	0.661	2.924
2020-01-26 15:00:00	0.562	2.365
2020-01-26 16:00:00	0.342	1.605
2020-01-26 17:00:00	0.123	0.752
2020-01-26 18:00:00	0.036	0.073
2020-01-26 19:00:00	0.004	0
2020-01-26 20:00:00	0	0
2020-01-26 21:00:00	-0.004	0
2020-01-26 22:00:00	-0.01	0
2020-01-26 23:00:00	-0.017	0
2020-01-27 00:00:00	-0.016	0
2020-01-27 01:00:00	-0.017	0
2020-01-27 02:00:00	-0.014	0
2020-01-27 03:00:00	-0.017	0
2020-01-27 04:00:00	-0.016	0
2020-01-27 05:00:00	-0.019	0
2020-01-27 06:00:00	-0.019	0
2020-01-27 07:00:00	0.021	0.251
2020-01-27 08:00:00	0.099	1.086
2020-01-27 09:00:00	0.159	1.92
2020-01-27 10:00:00	0.277	2.609
2020-01-27 11:00:00	0.295	3.075
2020-01-27 12:00:00	0.185	3.286
